nuclide,z,n,element,radius,radius_uncert,abundance,abundance_uncert,is_stable,half_life,half_life_uncert,isospin,decay_1,decay_1_pct,decay_1_pct_uncert,decay_2,decay_2_pct,decay_2_pct_uncert,decay_3,decay_3_pct,decay_3_pct_uncert,magnetic_dipole,magnetic_dipole_uncert,electric_quadrupole,electric_quadrupole_uncert,atomic_mass,atomic_mass_uncert,mass_excess,mass_excess_uncert
^{184}_{79}Au105,79,105,Au,5.4306,0.0041,,,FALSE,20.6,0.9,,EC+B+,1,,A,1.6e-4,,,,,2.06,0.02,4.7,0.3,183967451.523,23.912,-30318.714,22.275
^{185}_{79}Au106,79,106,Au,5.4296,0.0041,,,FALSE,255,3.6,,EC+B+,0.9974,6e-4,A,0.0026,6e-4,,,,2.16,0.02,-1.1,0.1,184965798.871,2.8,-31858.15,2.608
^{186}_{79}Au107,79,107,Au,5.4354,0.0039,,,FALSE,642,30,,EC+B+,1,,A,8e-6,2e-6,,,,-1.26,0.03,3.1,0.06,185965952.703,22.509,-31714.856,20.967
^{187}_{79}Au108,79,108,Au,5.4018,0.0058,,,FALSE,498,12,,EC+B+,1,,A,3e-5,,,,,0.533,0.015,,,186964542.147,24.153,-33028.78,22.499
^{188}_{79}Au109,79,109,Au,5.4049,0.0055,,,FALSE,530.4,3.6,,EC+B+,1,,,,,,,,-0.07,0.03,,,187965247.966,2.9,-32371.315,2.701
^{189}_{79}Au110,79,110,Au,5.4084,0.0052,,,FALSE,1722,24,,EC+B+,1,,A,3e-7,,,,,0.492,0.014,,,188963948.286,21.558,-33581.958,20.081
^{190}_{79}Au111,79,111,Au,5.4109,0.0049,,,FALSE,2568,60,,EC+B+,1,,A,1e-8,,,,,-0.065,0.007,,,189964751.746,3.7,-32833.54,3.447
^{191}_{79}Au112,79,112,Au,5.4147,0.0046,,,FALSE,11448,288,,EC+B+,1,,,,,,,,0.1364,9e-4,0.72,0.02,190963716.452,5.288,-33797.91,4.926
^{192}_{79}Au113,79,113,Au,5.4179,0.0044,,,FALSE,17784,324,,EC+B+,1,,,,,,,,-0.0107,0.0015,-0.228,0.008,191964817.615,16.991,-32772.184,15.827
^{193}_{79}Au114,79,114,Au,5.4221,0.0042,,,FALSE,63540,540,,EC+B+,1,,,,,,,,0.1391,5e-4,0.66,0.02,192964138.442,9.311,-33404.829,8.674
^{194}_{79}Au115,79,115,Au,5.4252,0.004,,,FALSE,136872,360,,EC+B+,1,,,,,,,,0.076,0.0013,-0.24,0.009,193965419.051,2.273,-32211.95,2.118
^{195}_{79}Au116,79,116,Au,5.4298,0.004,,,FALSE,16071264,5184,,EC,1,,,,,,,,0.1481,6e-4,0.607,0.018,194965037.823,1.201,-32567.061,1.119
^{196}_{79}Au117,79,117,Au,5.4332,0.0039,,,FALSE,532820.16,51.84,,EC+B+,0.93,0.003,B-,0.07,0.003,,,,0.5883,5e-4,0.81,0.07,195966571.213,3.179,-31138.718,2.962
^{197}_{79}Au118,79,118,Au,5.4371,0.0038,1,,TRUE,,,,,,,,,,,,,0.1452,2e-4,0.547,0.016,196966570.103,0.581,-31139.751,0.542
^{198}_{79}Au119,79,119,Au,5.44,0.0038,,,FALSE,232770.24,17.28,,B-,1,,,,,,,,0.5911,8e-4,0.64,0.019,197968243.714,0.579,-29580.793,0.54
^{199}_{79}Au120,79,120,Au,5.4454,0.0039,,,FALSE,271209.6,604.8,,B-,1,,,,,,,,0.2705,8e-4,0.51,0.016,198968766.573,0.581,-29093.752,0.542
^{200}_{79}Au121,79,121,Au,,,,,FALSE,2904,18,,B-,1,,,,,,,,,,,,199970756.558,28.681,-27240.094,26.717
^{201}_{79}Au122,79,122,Au,,,,,FALSE,1560,48,,B-,1,,,,,,,,,,,,200971657.678,3.455,-26400.705,3.218
^{202}_{79}Au123,79,123,Au,,,,,FALSE,28.4,1.2,,B-,1,,,,,,,,,,,,201973856,25,-24352.982,23.287
^{203}_{79}Au124,79,124,Au,,,,,FALSE,60,6,,B-,1,,,,,,,,,,,,202975154.492,3.309,-23143.444,3.083
^{204}_{79}Au125,79,125,Au,,,,,FALSE,39.8,0.9,,B-,1,,,,,,,,,,,,203978110,215,-20390,200
^{205}_{79}Au126,79,126,Au,,,,,FALSE,32,1.4,,B-,1,,,,,,,,,,,,204980064,215,-18570,200
^{206}_{79}Au127,79,127,Au,,,,,FALSE,40,15,,B-,1,,,,,,,,,,,,205984766,322,-14190,300
^{207}_{79}Au128,79,128,Au,,,,,FALSE,3e-7,,,B-,1,,B-N,,,,,,,,,,206988577,322,-10640,300
^{208}_{79}Au129,79,129,Au,,,,,FALSE,,,,B-,1,,B-N,,,,,,,,,,207993655,322,-5910,300
^{209}_{79}Au130,79,130,Au,,,,,FALSE,3e-7,,,B-,1,,,,,,,,,,,,208997606,429,-2230,400
^{210}_{79}Au131,79,131,Au,,,,,FALSE,3e-7,,,B-,,,B-N,,,,,,,,,,210002877,429,2680,400
^{170}_{80}Hg90,80,90,Hg,,,,,FALSE,8e-5,2.2e-4,,A,1,,,,,,,,,,,,170005814,324,5415,302
^{171}_{80}Hg91,80,91,Hg,,,,,FALSE,5.9e-5,2.6e-5,,A,1,,,,,,,,,,,,171003585,329,3339,307
^{172}_{80}Hg92,80,92,Hg,,,,,FALSE,2.31e-4,9e-6,,A,1,,,,,,,,,,,,171998860.581,161.098,-1061.361,150.062
^{173}_{80}Hg93,80,93,Hg,,,,,FALSE,8e-4,8e-5,,A,1,0.04,,,,,,,,,,,172997143,215,-2661,201
^{174}_{80}Hg94,80,94,Hg,,,,,FALSE,0.0021,0.00125,,A,0.996,0.004,,,,,,,,,,,173992870.575,20.623,-6641.017,19.211
^{175}_{80}Hg95,80,95,Hg,,,,,FALSE,0.0106,4e-4,,A,1,,,,,,,,,,,,174991444.451,87.047,-7969.443,81.085
^{176}_{80}Hg96,80,96,Hg,,,,,FALSE,0.0203,0.0014,,A,0.94,0.12,,,,,,,,,,,175987348.67,11.936,-11784.639,11.118
^{177}_{80}Hg97,80,97,Hg,,,,,FALSE,0.117,0.007,,A,1,,,,,,,,-1.02,0.05,,,176986284.59,90.952,-12775.823,84.722
^{178}_{80}Hg98,80,98,Hg,,,,,FALSE,0.2665,0.0024,,A,0.7,,EC+B+,0.3,,,,,,,,,177982484.756,11.548,-16315.346,10.758
^{179}_{80}Hg99,80,99,Hg,,,,,FALSE,1.05,0.03,,A,0.55,0.25,EC+B+,0.45,0.25,ECP,0.0015,,-0.94,0.02,,,178981821.759,30.188,-16932.924,28.121
^{180}_{80}Hg100,80,100,Hg,,,,,FALSE,2.59,0.01,,EC+B+,0.52,0.02,A,0.48,0.02,,,,,,,,179978260.18,13.574,-20250.513,12.645
^{181}_{80}Hg101,80,101,Hg,5.4364,0.0032,,,FALSE,3.6,0.1,,EC+B+,0.73,0.02,A,0.27,0.02,ECP,1.3e-4,3e-5,0.5051,7e-4,,,180977819.368,16.513,-20661.127,15.382
^{182}_{80}Hg102,80,102,Hg,5.3833,0.0052,,,FALSE,10.83,0.06,,EC+B+,0.862,0.009000000000000001,A,0.138,0.009000000000000001,,,,,,,,181974689.173,10.51,-23576.885,9.79
^{183}_{80}Hg103,80,103,Hg,5.4405,0.0031,,,FALSE,9.4,0.7,,EC+B+,0.883,0.02,A,0.11699999999999999,0.02,ECP,2.5999999999999997e-6,6e-7,0.522,0.005,,,182974444.652,7.604,-23804.655,7.084
^{184}_{80}Hg104,80,104,Hg,5.3949,0.0047,,,FALSE,30.87,0.26,,EC+B+,0.9889,6e-4,A,0.0111,6e-4,,,,,,,,183971717.709,10.235,-26344.787,9.535
^{185}_{80}Hg105,80,105,Hg,5.4397,0.0031,,,FALSE,49.1,1,,EC+B+,0.94,0.01,A,0.06,0.01,,,,0.505,0.004,,,184971890.696,14.641,-26183.651,13.639
^{186}_{80}Hg106,80,106,Hg,5.4017,0.0043,,,FALSE,82.8,6,,EC+B+,0.99984,5e-5,A,1.6e-4,5e-5,,,,,,,,185969362.061,12.507,-28539.059,11.65
^{187}_{80}Hg107,80,107,Hg,5.4046,0.0042,,,FALSE,114,18,,EC+B+,1,,A,3.7e-6,,,,,-0.591,0.004,-0.75,0.18,186969813.54,13.81,-28118.509,12.864
^{188}_{80}Hg108,80,108,Hg,5.4085,0.004,,,FALSE,195,9,,EC+B+,0.9999996299999999,8e-8,A,3.7e-7,8e-8,,,,,,,,187967580.738,7.285,-30198.351,6.787
^{189}_{80}Hg109,80,109,Hg,5.41,0.004,,,FALSE,456,12,,EC+B+,1,,A,3e-7,,,,,-0.6062,0.001,-0.8,0.3,188968194.776,33.873,-29626.378,31.553
^{190}_{80}Hg110,80,110,Hg,5.4158,0.0037,,,FALSE,1200,30,,EC+B+,1,,A,3.4e-9,,,,,,,,,189966322.25,17.076,-31370.625,15.907
^{191}_{80}Hg111,80,111,Hg,5.4171,0.0037,,,FALSE,2940,600,,EC+B+,1,,,,,,,,-0.616,0.011,-0.8,0.13,190967158.301,23.918,-30591.849,22.28
^{192}_{80}Hg112,80,112,Hg,5.4232,0.0035,,,FALSE,17460,720,,EC,1,,,,,,,,,,,,191965634.263,16.679,-32011.481,15.537
^{193}_{80}Hg113,80,113,Hg,5.4238,0.0035,,,FALSE,13680,540,,EC+B+,1,,,,,,,,-0.6251,8e-4,-0.7,0.3,192966653.395,16.645,-31062.165,15.505
^{194}_{80}Hg114,80,114,Hg,5.4309,0.0033,,,FALSE,14105945910.6426,1640960150.67878,,EC,1,,,,,,,,,,,,193965449.108,3.1,-32183.952,2.888
^{195}_{80}Hg115,80,115,Hg,5.4345,0.0032,,,FALSE,37908,108,,EC+B+,1,,,,,,,,0.5393,6e-4,1.08,0.02,194966705.809,24.843,-31013.342,23.142
^{196}_{80}Hg116,80,116,Hg,5.4385,0.0031,0.0015,1e-4,TRUE,,,,,,,,,,,,,,,,,195965833.445,3.163,-31825.944,2.946
^{197}_{80}Hg117,80,117,Hg,5.4412,0.0031,,,FALSE,230904,180,,EC,1,,,,,,,,0.5253,6e-4,,,196967213.715,3.442,-30540.231,3.207
^{198}_{80}Hg118,80,118,Hg,5.4463,0.0031,0.10039999999999999,3e-4,TRUE,,,,,,,,,,,,,1.6,0.2,,,197966769.177,0.491,-30954.315,0.458
^{199}_{80}Hg119,80,119,Hg,5.4474,0.0031,0.16940000000000002,0.0012,TRUE,,,,,,,,,,,,,0.5039,6e-4,0.95,0.07,198968280.994,0.564,-29546.066,0.526
^{200}_{80}Hg120,80,120,Hg,5.4551,0.0031,0.2314,9e-4,TRUE,,,,,,,,,,,,,1.02,0.17,,,199968326.941,0.568,-29503.267,0.53
^{201}_{80}Hg121,80,121,Hg,5.4581,0.0032,0.1317,9e-4,TRUE,,,,,,,,,,,,,-0.558,7e-4,0.387,0.006,200970303.054,0.763,-27662.529,0.712
^{202}_{80}Hg122,80,122,Hg,5.4648,0.0033,0.2974,0.0013,TRUE,,,,,,,,,,,,,1.4,0.3,0.87,0.13,201970643.604,0.757,-27345.31,0.705
^{203}_{80}Hg123,80,123,Hg,5.4679,0.0035,,,FALSE,4027104,864,,B-,1,,,,,,,,0.8456,0.001,0.344,0.007,202972872.396,1.75,-25269.203,1.63
^{204}_{80}Hg124,80,124,Hg,5.4744,0.0036,0.0682,4e-4,TRUE,,,,,,,,,,,,,0.64,0.06,0.4,0.2,203973494.037,0.534,-24690.148,0.498
^{205}_{80}Hg125,80,125,Hg,5.4776,0.0038,,,FALSE,308.4,5.4,,B-,1,,,,,,,,0.5985,7e-4,,,204976073.151,3.923,-22287.719,3.655
^{206}_{80}Hg126,80,126,Hg,5.4837,0.004,,,FALSE,499.2,4.2,,B-,1,,,,,,,,5.45,0.05,0.74,0.15,205977513.837,21.943,-20945.728,20.441
^{207}_{80}Hg127,80,127,Hg,,,,,FALSE,174,12,,B-,1,,,,,,,,,,,,206982300,32,-16487.446,29.808
^{208}_{80}Hg128,80,128,Hg,,,,,FALSE,2460,270,,B-,1,,,,,,,,,,,,207985759,33,-13265.408,30.739
^{209}_{80}Hg129,80,129,Hg,,,,,FALSE,36,5.5,,B-,1,,,,,,,,,,,,208990757,161,-8610,150
^{210}_{80}Hg130,80,130,Hg,,,,,FALSE,,,,,,,,,,,,,,,,,209994310,215,-5300,200
^{211}_{80}Hg131,80,131,Hg,,,,,FALSE,3e-7,,,B-,,,B-N,,,,,,,,,,210999581,215,-390,200
^{212}_{80}Hg132,80,132,Hg,,,,,FALSE,,,,B-,1,,B-N,,,,,,,,,,212003242,322,3020,300
^{213}_{80}Hg133,80,133,Hg,,,,,FALSE,,,,B-,1,,B-N,,,,,,,,,,213008803,322,8200,300
^{214}_{80}Hg134,80,134,Hg,,,,,FALSE,,,,B-,1,,B-N,,,,,,,,,,214012636,429,11770,400
^{215}_{80}Hg135,80,135,Hg,,,,,FALSE,,,,B-,1,,B-N,,,,,,,,,,215018368,429,17110,400
^{216}_{80}Hg136,80,136,Hg,,,,,FALSE,3e-7,,,B-,,,B-N,,,,,,,,,,216022459,429,20920,400
^{176}_{81}Tl95,81,95,Tl,,,,,FALSE,0.0052,0.0022,,P,1,,,,,,,,,,,,176000627.731,89.166,584.728,83.058
^{177}_{81}Tl96,81,96,Tl,,,,,FALSE,0.018,0.005,,A,0.73,0.13,P,0.27,0.13,,,,,,,,176996414.252,23.218,-3340.103,21.628
^{178}_{81}Tl97,81,97,Tl,,,,,FALSE,0.254,0.01,,A,0.53,,EC+B+,0.47,,,,,,,,,177995047,110,-4613,102
^{179}_{81}Tl98,81,98,Tl,,,,,FALSE,0.23,0.04,,A,1,,EC+B+,,,P,,,1.631,0.016,,,178991122.185,41.495,-8269.632,38.653
^{180}_{81}Tl99,81,99,Tl,,,,,FALSE,1.09,0.01,,EC+B+,0.94,0.04,A,0.06,0.04,ECSF,3.2e-5,2e-6,-0.56,0.02,,,179989918.95,75.058,-9390.438,69.917
^{181}_{81}Tl100,81,100,Tl,,,,,FALSE,3.2,0.3,,A,0.1,,,,,,,,1.632,0.014,,,180986259.978,9.771,-12798.749,9.102
^{182}_{81}Tl101,81,101,Tl,,,,,FALSE,3.1,1,,EC+B+,0.975,0.025,A,0.05,,,,,0.54,0.1,,,181985692.649,12.856,-13327.213,11.976
^{183}_{81}Tl102,81,102,Tl,,,,,FALSE,6.9,0.7,,EC+B+,0,,A,,,,,,3.61,0.06,,,182982192.843,10.017,-16587.261,9.331
^{184}_{81}Tl103,81,103,Tl,,,,,FALSE,10.1,0.5,,EC+B+,0.9790000000000001,0.006999999999999999,A,0.021,0.006999999999999999,,,,0.43,0.02,,,183981874.973,10.747,-16883.355,10.012
^{185}_{81}Tl104,81,104,Tl,,,,,FALSE,19.5,0.5,,EC+B+,,,,,,,,,1.6,0.04,,,184978789.189,22.194,-19757.745,20.674
^{186}_{81}Tl105,81,105,Tl,,,,,FALSE,3.4,0.45,,A,,,,,,,,,,,,,185978654.787,22.276,-19882.94,20.751
^{187}_{81}Tl106,81,106,Tl,,,,,FALSE,51,,,EC+B+,1,,A,3e-4,,,,,1.54,0.06,,,186975904.74,8.64,-22444.592,8.048
^{188}_{81}Tl107,81,107,Tl,5.4017,0.0072,,,FALSE,71,2,,EC+B+,1,,,,,,,,0.481,0.008,,,187976020.886,32.103,-22336.403,29.904
^{189}_{81}Tl108,81,108,Tl,,,,,FALSE,138,12,,EC+B+,1,,,,,,,,,,,,188973573.525,8.983,-24616.105,8.368
^{190}_{81}Tl109,81,109,Tl,5.4121,0.0056,,,FALSE,156,18,,EC+B+,1,,,,,,,,0.253,0.002,,,189973841.771,7.784,-24366.236,7.252
^{191}_{81}Tl110,81,110,Tl,5.4169,0.0048,,,FALSE,,,,,,,,,,,,,1.582,0.004,,,190971784.093,7.889,-26282.951,7.349
^{192}_{81}Tl111,81,111,Tl,5.4191,0.0051,,,FALSE,576,24,,EC+B+,1,,,,,,,,0.199,0.003,,,191972225,34,-25872.249,31.671
^{193}_{81}Tl112,81,112,Tl,5.4243,0.0042,,,FALSE,1296,48,,EC+B+,1,,,,,,,,1.585,0.003,-2.2,0.02,192970501.994,7.2,-27477.218,6.707
^{194}_{81}Tl113,81,113,Tl,5.4259,0.0046,,,FALSE,1980,30,,EC+B+,1,,A,9.999999999999999e-10,,,,,0.139,0.003,-0.282,0.007,193971081.408,15,-26937.498,13.972
^{195}_{81}Tl114,81,114,Tl,5.4325,0.0039,,,FALSE,4176,180,,EC+B+,1,,,,,,,,1.57,0.04,,,194969774.052,11.944,-28155.292,11.126
^{196}_{81}Tl115,81,115,Tl,5.4327,0.0042,,,FALSE,6624,108,,EC+B+,1,,,,,,,,0.072,0.003,-0.178,0.014,195970481.189,13,-27496.598,12.109
^{197}_{81}Tl116,81,116,Tl,5.4388,0.0036,,,FALSE,10224,144,,EC+B+,1,,,,,,,,1.57,0.02,,,196969560.492,14.573,-28354.222,13.575
^{198}_{81}Tl117,81,117,Tl,5.4396,0.0036,,,FALSE,19080,1800,,EC+B+,1,,,,,,,,0,0.01,,,197970446.669,8.1,-27528.753,7.545
^{199}_{81}Tl118,81,118,Tl,5.4479,0.0031,,,FALSE,26712,288,,EC+B+,1,,,,,,,,1.59,0.02,,,198969877,30,-28059.397,27.945
^{200}_{81}Tl119,81,119,Tl,5.4491,0.0031,,,FALSE,93960,360,,EC+B+,1,,,,,,,,0.04,0.01,,,199970963.608,6.182,-27047.227,5.759
^{201}_{81}Tl120,81,120,Tl,5.4573,0.0029,,,FALSE,262828.8,138.24,,EC,1,,,,,,,,1.599,0.003,,,200970820.235,15.228,-27180.778,14.185
^{202}_{81}Tl121,81,121,Tl,5.4595,0.0027,,,FALSE,1063584,6912,,EC+B+,1,,,,,,,,0.06,0.01,,,201972108.874,1.972,-25980.419,1.838
^{203}_{81}Tl122,81,122,Tl,5.4666,0.0027,0.29515,4.3999999999999996e-4,TRUE,,,,,,,,,,,,,1.616,0.002,,,202972344.098,1.257,-25761.309,1.171
^{204}_{81}Tl123,81,123,Tl,5.4704,0.0028,,,FALSE,119379850.961882,378683.111695104,,B-,0.9708,7.000000000000001e-4,EC+B+,0.0292,7.000000000000001e-4,,,,0.09,0.01,,,203973863.42,1.238,-24346.07,1.154
^{205}_{81}Tl124,81,124,Tl,5.4759,0.0026,0.70485,4.3999999999999996e-4,TRUE,,,,,,,,,,,,,1.632,0.002,0.74,0.15,204974427.318,1.33,-23820.802,1.239
^{206}_{81}Tl125,81,125,Tl,,,,,FALSE,252.12,0.66,,B-,1,,,,,,,,4.27,0.06,,,205976110.108,1.38,-22253.293,1.286
^{207}_{81}Tl126,81,126,Tl,5.4853,0.0027,,,FALSE,286.2,1.8,,B-,1,,,,,,,,1.869,0.005,,,206977418.605,5.839,-21034.436,5.439
^{208}_{81}Tl127,81,127,Tl,5.4946,0.0028,,,FALSE,183.18,0.24,,B-,1,,,,,,,,0.291,0.013,,,207982018.006,1.989,-16750.121,1.854
^{209}_{81}Tl128,81,128,Tl,,,,,FALSE,129.72,0.42,,B-,1,,,,,,,,,,,,208985351.713,6.559,-13644.793,6.11
^{210}_{81}Tl129,81,129,Tl,,,,,FALSE,78,1.8,,B-,1,,B-N,7.000000000000001e-5,,,,,,,,,209990072.942,12.456,-9246.996,11.603
^{211}_{81}Tl130,81,130,Tl,,,,,FALSE,88,37.5,,B-,1,,B-N,,,,,,,,,,210993475,45,-6077.999,41.917
^{212}_{81}Tl131,81,131,Tl,,,,,FALSE,30.9,8,,B-,1,,B-N,0.018000000000000002,0.018000000000000002,,,,,,,,211998335,215,-1551,200
^{213}_{81}Tl132,81,132,Tl,,,,,FALSE,23.8,4.4,,B-,1,,B-N,0.076,0.034,,,,,,,,213001915,29,1783.811,27.013
^{214}_{81}Tl133,81,133,Tl,,,,,FALSE,11,2.4,,B-,1,,B-N,0.34,0.12,,,,,,,,214006940,210,6465,196
^{215}_{81}Tl134,81,134,Tl,,,,,FALSE,9.7,3.8,,B-,1,,B-N,0.046,0.046,,,,,,,,215010768,322,10030,300
^{216}_{81}Tl135,81,135,Tl,,,,,FALSE,3e-7,,,B-,,,B-N,,,,,,,,,,216015964,322,14870,300
^{217}_{81}Tl136,81,136,Tl,,,,,FALSE,,,,B-,1,,B-N,,,,,,,,,,217020032,429,18660,400
^{178}_{82}Pb96,82,96,Pb,,,,,FALSE,1.2e-4,1.35e-4,,A,1,,,,,,,,,,,,178003836.171,24.889,3573.371,23.184
^{179}_{82}Pb97,82,97,Pb,,,,,FALSE,0.0035,0.0011,,A,1,,,,,,,,,,,,179002202.492,87.203,2051.608,81.229
^{180}_{82}Pb98,82,98,Pb,,,,,FALSE,0.0041,3e-4,,A,1,,,,,,,,,,,,179997916.177,13.306,-1941.069,12.395
^{181}_{82}Pb99,82,99,Pb,,,,,FALSE,0.045,0.02,,A,1,,,,,,,,,,,,180996660.6,91.29,-3110.631,85.037
^{182}_{82}Pb100,82,100,Pb,5.3788,0.0035,,,FALSE,0.055,0.005,,A,0.98,,EC+B+,0.02,,,,,,,,,181992673.537,12.975,-6824.556,12.086
^{183}_{82}Pb101,82,101,Pb,5.3869,0.003,,,FALSE,0.535,0.03,,A,0.9,,,,,,,,-1.154,0.005,,,182991862.527,31.11,-7580.008,28.979
^{184}_{82}Pb102,82,102,Pb,5.393,0.0029,,,FALSE,0.49,0.025,,A,0.8,0.15,EC+B+,0.2,0.15,,,,,,,,183988135.634,13.743,-11051.586,12.802
^{185}_{82}Pb103,82,103,Pb,5.3984,0.0028,,,FALSE,6.3,0.4,,A,0.34,0.25,EC+B+,,,,,,-1.137,0.005,,,184987610,17.364,-11541.211,16.175
^{186}_{82}Pb104,82,104,Pb,5.4027,0.0027,,,FALSE,4.81,0.03,,EC+B+,0.6,0.08,A,0.4,0.08,,,,,,,,185984239.409,11.813,-14680.897,11.004
^{187}_{82}Pb105,82,105,Pb,5.4079,0.0026,,,FALSE,15.2,0.3,,EC+B+,0.905,0.02,A,0.095,0.02,,,,-1.122,0.003,,,186983910.842,5.468,-14986.955,5.094
^{188}_{82}Pb106,82,106,Pb,5.4139,0.0025,,,FALSE,25.5,0.1,,EC+B+,0.915,0.005,A,0.085,0.005,,,,-0.3,0.06,,,187980879.079,10.868,-17811.024,10.124
^{189}_{82}Pb107,82,107,Pb,5.4177,0.0024,,,FALSE,39,8,,EC+B+,1,,A,0.004,,,,,-1.077,0.009,,,188980843.658,15.096,-17844.019,14.062
^{190}_{82}Pb108,82,108,Pb,5.4222,0.0023,,,FALSE,71,1,,EC+B+,0.996,4e-4,A,0.004,4e-4,,,,,,,,189978081.872,13.434,-20416.607,12.514
^{191}_{82}Pb109,82,109,Pb,5.4229,0.0026,,,FALSE,79.8,4.8,,EC+B+,0.9998699999999999,5e-5,A,1.3e-4,5e-5,,,,-1.167,0.007,0.085,0.005,190978216.455,7.099,-20291.243,6.613
^{192}_{82}Pb110,82,110,Pb,5.43,0.0025,,,FALSE,210,6,,EC+B+,0.9999410000000001,7e-6,A,5.9e-5,7e-6,,,,,,,,191975789.598,6.147,-22551.846,5.726
^{193}_{82}Pb111,82,111,Pb,5.431,0.0023,,,FALSE,,,,EC+B+,,,,,,,,,-1.146,0.007,,,192976135.914,11.044,-22229.255,10.288
^{194}_{82}Pb112,82,112,Pb,5.4372,0.0023,,,FALSE,642,36,,EC+B+,1,,A,7.3e-8,2.9e-8,,,,-0.38,0.14,0.49,0.03,193974011.788,18.717,-24207.866,17.435
^{195}_{82}Pb113,82,113,Pb,5.4389,0.0045,,,FALSE,900,,,EC+B+,1,,,,,,,,-1.124,0.007,0.306,0.015,194974516.167,5.461,-23738.039,5.088
^{196}_{82}Pb114,82,114,Pb,5.4444,0.0024,,,FALSE,2220,180,,EC+B+,1,,A,3e-7,,,,,-1.92,0.02,0.65,0.05,195972787.552,8.277,-25348.234,7.71
^{197}_{82}Pb115,82,115,Pb,5.4446,0.0024,,,FALSE,486,102,,EC+B+,1,,,,,,,,-1.0718,0.0023,-0.08,0.17,196973434.737,5.157,-24745.385,4.804
^{198}_{82}Pb116,82,116,Pb,5.4524,0.0022,,,FALSE,8640,360,,EC+B+,1,,,,,,,,,,,,197972015.45,9.393,-26067.443,8.75
^{199}_{82}Pb117,82,117,Pb,5.4529,0.0022,,,FALSE,5400,600,,EC+B+,1,,,,,,,,-1.0707,0.0014,,9,198972912.62,7.322,-25231.734,6.821
^{200}_{82}Pb118,82,118,Pb,5.4611,0.002,,,FALSE,77400,1440,,EC,1,,,,,,,,,,,,199971818.546,10.744,-26250.858,10.008
^{201}_{82}Pb119,82,119,Pb,5.4629,0.0019,,,FALSE,33588,180,,EC+B+,1,,,,,,,,0.6731,6e-4,0.01,0.04,200972870.431,14.758,-25271.033,13.747
^{202}_{82}Pb120,82,120,Pb,5.4705,0.0017,,,FALSE,1656738613666.08,88359392728.8576,,EC,1,,A,0.01,,,,,,,,,201972151.613,4.075,-25940.608,3.796
^{203}_{82}Pb121,82,121,Pb,5.4727,0.0017,,,FALSE,186912,108,,EC,1,,,,,,,,0.6841,6e-4,0.1,0.05,202973390.617,7.036,-24786.483,6.554
^{204}_{82}Pb122,82,122,Pb,5.4803,0.0014,0.013999999999999999,0.006,FALSE,441796963644288e10,,,A,,,,,,,,,0.02,,0.23,0.09,203973043.506,1.231,-25109.815,1.147
^{205}_{82}Pb123,82,123,Pb,5.4828,0.0015,,,FALSE,536467741568064,28401233377132.8,,EC,1,,,,,,,,0.7094,6e-4,0.23,0.04,204974481.682,1.228,-23770.162,1.145
^{206}_{82}Pb124,82,124,Pb,5.4902,0.0014,0.24100000000000002,0.03,TRUE,,,,,,,,,,,,,-0.152,0.003,0.05,0.09,205974465.21,1.228,-23785.506,1.144
^{207}_{82}Pb125,82,125,Pb,5.4943,0.0014,0.221,0.05,TRUE,,,,,,,,,,,,,0.5906,4e-4,,,206975896.821,1.231,-22451.968,1.147
^{208}_{82}Pb126,82,126,Pb,5.5012,0.0013,0.524,0.07,TRUE,,,,,,,,,,,,,,,,,207976652.005,1.232,-21748.519,1.148
^{209}_{82}Pb127,82,127,Pb,5.51,0.0014,,,FALSE,11642.4,25.2,,B-,1,,,,,,,,-1.4686,0.0019,-0.27,0.17,208981089.978,1.875,-17614.574,1.747
^{210}_{82}Pb128,82,128,Pb,5.5208,0.0016,,,FALSE,700563756.635943,6942523.71441024,,B-,1,,A,1.9e-8,3.9999999999999994e-9,,,,,,,,209984188.381,1.554,-14728.429,1.448
^{211}_{82}Pb129,82,129,Pb,5.529,0.0017,,,FALSE,2166,12,,B-,1,,,,,,,,-1.3991,0.0012,0.09,0.06,210988735.288,2.426,-10493.012,2.26
^{212}_{82}Pb130,82,130,Pb,5.5396,0.0019,,,FALSE,38239.2,25.2,,B-,1,,,,,,,,,,,,211991895.891,1.975,-7548.929,1.84
^{213}_{82}Pb131,82,131,Pb,,,,,FALSE,612,18,,B-,1,,,,,,,,,,,,212996560.796,7.465,-3203.598,6.954
^{214}_{82}Pb132,82,132,Pb,5.5577,0.0023,,,FALSE,1623.6,4.2,,B-,1,,,,,,,,,,,,213999803.521,2.114,-183.019,1.969
^{215}_{82}Pb133,82,133,Pb,,,,,FALSE,147,12,,B-,1,,,,,,,,,,,,215004661.591,56.56,4342.245,52.685
^{216}_{82}Pb134,82,134,Pb,,,,,FALSE,3e-7,,,B-,,,,,,,,,,,,,216008062,215,7510,200
^{217}_{82}Pb135,82,135,Pb,,,,,FALSE,19.9,5.3,,B-,1,,,,,,,,,,,,217013162,322,12260,300
^{218}_{82}Pb136,82,136,Pb,,,,,FALSE,15,7,,B-,1,,,,,,,,,,,,218016779,322,15630,300
^{219}_{82}Pb137,82,137,Pb,,,,,FALSE,,,,B-,1,,,,,,,,,,,,219022136,429,20620,400
^{220}_{82}Pb138,82,138,Pb,,,,,FALSE,3e-7,,,B-,,,,,,,,,,,,,220025905,429,24130,400
